Title,Avg,Total,Total_males,Total_Females,All_below_18,All_18_29,All_30_44,All_over_45,Males_below_18,Males_18_29,Males_30_44,Males_over_45,Females_below_18,Females_18_29,Females_30_44,Females_over_45,Title_ID,All_rank_below_18,All_rank_18_29,All_rank_30_44,All_rank_over_45,Males_rank_below_18,Males_rank_18_29,Males_rank_30_44,Males_rank_over_45,Females_rank_below_18,Females_rank_18_29,Females_rank_30_44,Females_rank_over_45
Transformers: Robots in Disguise,6.1,"1,031",486,93,4,152,261,106,3,116,223,91,1,35,36,13,tt3604232,7.0,6.0,6.2,6.1,6.0,6.0,6.1,6.3,10.0,5.8,7.5,3.8
City of Joy,6.5,"5,174","3,075",871,1,112,"1,741","2,024",0,78,"1,362","1,553",1,29,356,450,tt0103976,10.0,6.4,6.5,6.5,-,6.3,6.4,6.4,10.0,6.6,6.9,7.0
First and Last,6.7,418,195,104,0,57,154,69,0,29,103,47,0,25,47,20,tt8893502,-,6.7,6.7,6.6,-,6.5,6.7,6.4,-,7.1,7.0,7.2
Marvel's Iron Fist,6.5,"125,788","71,544","11,746",65,"20,141","40,445","13,238",53,"16,899","33,949","10,985",7,"2,611","5,708","1,956",tt3322310,6.3,6.6,6.4,6.6,6.5,6.6,6.4,6.5,5.3,6.8,6.5,6.9
Next Gen,6.6,"16,902","9,523","2,197",28,"2,457","6,368","1,787",18,"1,791","5,150","1,524",6,570,"1,095",226,tt7133686,6.2,6.7,6.5,6.5,6.7,6.7,6.5,6.5,5.7,6.6,6.6,6.6
Sierra Burgess Is A Loser,5.8,"38,260","8,016","14,942",64,"9,761","10,074","1,654",14,"2,492","3,713",962,37,"6,437","6,067",639,tt3120280,3.8,5.7,6.0,6.0,3.1,5.5,5.8,5.9,4.0,5.8,6.1,6.4
Stretch Armstrong & the Flex Fighters,6.3,305,152,30,1,40,85,41,0,30,75,32,1,9,8,7,tt1379164,6.0,6.7,5.9,5.9,-,6.7,5.9,5.7,6.0,6.5,6.2,6.4
The Most Assassinated Woman in the World,5.3,"1,072",610,170,0,101,364,262,0,58,280,222,0,36,76,35,tt6186696,-,5.7,5.3,5.3,-,5.3,5.2,5.3,-,6.3,5.5,5.6
PK,8.2,"176,736","101,309","13,564",136,"41,497","55,474","6,220",115,"36,335","48,521","5,162",13,"4,539","6,345",965,tt2338151,8.1,8.4,7.9,7.3,8.2,8.5,7.9,7.3,7.2,8.4,8.0,7.5
The Debt Collector,5.8,"7,303","5,056",254,4,610,"2,687","1,642",3,551,"2,550","1,518",0,32,96,95,tt7448180,5.5,6.0,5.8,5.7,5.0,6.0,5.8,5.8,-,5.9,5.3,5.3
Monkey Twins,7.9,91,51,10,0,10,26,19,0,5,22,15,0,3,3,4,tt8507498,-,7.7,7.1,7.8,-,7.7,7.0,7.2,-,9.0,8.3,9.5
Quantico,8.2,"186,357","62,207","63,826",58,"23,905","65,475","28,004",19,"9,809","32,198","14,686",22,"13,090","31,847","12,480",tt0452046,6.8,8.3,8.1,8.0,7.4,7.9,7.7,7.7,5.6,8.8,8.6,8.6
Age of Rebellion,8.6,47,10,9,0,10,4,1,0,4,2,1,0,5,1,0,tt8931836,-,8.7,7.2,4.0,-,9.7,9.0,4.0,-,7.7,10.0,-
Carbon,6.4,129,43,1,1,12,26,2,1,11,25,2,0,0,1,0,tt14598840,10.0,5.7,6.0,7.0,10.0,5.8,5.8,7.0,-,-,8.0,-
Garbage,3.4,"1,003",685,35,0,229,330,48,0,221,306,45,0,5,23,2,tt7981260,-,3.2,3.5,4.1,-,3.2,3.5,4.1,-,1.8,3.6,5.5
​​Kuch Bheege Alfaaz,7.5,899,470,99,0,153,268,52,0,122,233,41,0,29,33,11,tt7617988,-,7.5,7.1,7.1,-,7.4,7.1,6.9,-,7.6,7.4,8.0
Love and Shukla,7.4,928,542,94,0,128,355,59,0,107,318,44,0,19,36,14,tt7647198,-,7.5,7.1,6.8,-,7.5,7.1,6.3,-,7.7,7.1,8.1
Once Again,8.3,272,50,74,0,30,63,23,0,7,26,13,0,20,35,7,tt12182904,-,7.6,8.1,8.2,-,7.1,8.1,7.8,-,7.6,8.1,9.5
Sisters,6.0,"65,901","31,721","18,357",14,"10,040","28,650","8,438",7,"4,940","18,374","6,277",5,"4,853","9,854","2,011",tt1850457,5.8,6.1,5.9,5.8,5.0,6.0,5.8,5.7,5.7,6.4,6.2,6.1
Sparring,6.4,606,400,43,0,42,229,155,0,35,201,140,0,5,20,11,tt7222552,-,6.8,6.4,6.2,-,6.7,6.4,6.3,-,6.2,5.8,5.9
Cathedral of the Sea,7.5,"4,087","1,925",813,3,322,"1,189",962,2,198,803,688,0,98,350,244,tt4944694,5.7,7.7,7.4,7.3,3.5,7.7,7.4,7.3,-,7.6,7.6,7.4
Inside the Criminal Mind,5.4,978,396,290,2,187,333,115,2,84,193,79,0,95,129,35,tt6775794,3.0,5.4,5.3,5.6,3.0,5.3,5.3,5.5,-,5.7,5.3,5.8
The Comedy Lineup,5.9,452,225,104,0,59,188,66,0,32,130,53,0,24,55,12,tt8687584,-,5.8,6.1,5.6,-,5.7,5.9,5.6,-,5.8,6.8,6.7
The Laws of Thermodynamics,6.0,"2,717","1,459",546,0,344,"1,056",466,0,188,744,399,0,141,282,55,tt6053938,-,6.2,6.0,5.9,-,6.3,6.0,5.9,-,6.1,6.2,5.8
Ultimate Beastmaster,7.3,"2,364","1,258",357,2,389,879,183,1,281,691,139,1,98,174,42,tt5607970,5.5,7.2,7.3,7.0,7.0,7.2,7.3,6.9,4.0,7.3,7.5,7.2
Ultimate Beastmaster México,7.3,"2,364","1,258",357,2,389,879,183,1,281,691,139,1,98,174,42,tt5607970,5.5,7.2,7.3,7.0,7.0,7.2,7.3,6.9,4.0,7.3,7.5,7.2
Undercover Law,7.4,213,80,55,0,15,45,58,0,8,20,39,0,7,22,18,tt8888710,-,6.9,7.8,6.8,-,6.4,6.9,6.8,-,7.8,8.2,6.6
Naam Shabana,6.2,"6,638","3,813",321,2,"1,151","2,219",222,2,"1,050","2,044",190,0,79,159,28,tt6170954,7.5,6.5,6.0,5.8,7.5,6.5,6.0,5.8,-,6.1,6.2,6.2
Qarib Qarib Singlle,7.1,"8,091","4,697",553,4,"1,587","2,698",288,4,"1,442","2,394",228,0,118,279,54,tt7399470,8.0,7.2,6.9,6.8,8.0,7.2,6.9,6.8,-,7.0,6.9,7.1
Spyder,6.8,"10,103","5,618",243,10,"2,778","1,601",132,10,"2,668","1,531",108,0,88,61,20,tt6522546,6.4,7.2,5.8,5.4,6.4,7.2,5.8,5.5,-,7.8,5.5,5.4
Chicken Soup for the Soul's Being Dad,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt8908110,0,0,0,0,0,0,0,0,0,0,0,0
Maria Bamford: The Special Special Special,6.8,568,382,101,0,63,292,115,0,49,222,93,0,14,63,21,tt2546038,-,6.8,6.9,6.4,-,6.7,6.8,6.2,-,7.4,7.3,8.2
Bert Kreischer: Secret Time,7.3,"2,273","1,413",192,1,391,885,218,1,325,763,194,0,51,106,19,tt8786466,9.0,7.4,7.3,6.9,9.0,7.3,7.2,7.0,-,7.5,7.5,6.0
GHOUL,7.1,"13,627","8,214",853,7,"2,585","4,238",742,6,"2,317","3,802",625,1,211,397,101,tt5909930,6.9,7.4,6.9,6.4,8.8,7.4,6.9,6.3,5.0,7.6,7.1,6.7
One Last Shot,6.6,508,306,36,1,67,172,76,1,59,153,66,0,7,16,9,tt0380601,6.0,6.9,6.4,6.8,6.0,7.0,6.4,6.8,-,6.2,6.0,6.9
Take My Brother Away,7.0,158,39,40,0,27,33,9,0,14,16,7,0,12,15,2,tt8894324,-,6.7,6.1,6.8,-,6.0,5.7,6.7,-,7.5,7.0,10.0
The After Party,5.8,"4,287","2,527",436,3,904,"1,478",335,2,719,"1,258",294,0,150,195,33,tt3960240,3.3,6.0,5.7,5.2,4.5,6.0,5.7,5.1,-,6.0,5.8,6.1
The Innocents,7.0,"4,313","2,628",431,3,504,"1,755",686,2,401,"1,471",590,0,75,246,83,tt4028464,8.0,6.9,7.0,7.0,8.0,6.9,7.0,7.0,-,7.1,6.9,7.3
Bareilly Ki Barfi,7.5,"22,662","12,468","1,270",15,"5,032","6,286",507,11,"4,549","5,626",412,2,366,574,87,tt6967980,7.4,7.6,7.3,7.2,7.2,7.7,7.3,7.1,7.5,7.2,7.1,7.4
Mersal,8.1,"32,283","15,661",755,40,"7,973","3,645",278,39,"7,605","3,450",216,1,289,175,53,tt6485666,9.3,8.4,6.7,6.0,9.4,8.4,6.7,5.9,1.0,8.5,7.2,7.7
Mom,7.4,"33,693","13,194","10,276",7,"3,708","11,437","6,480",5,"1,975","6,131","3,851",2,"1,616","5,065","2,505",tt2660806,6.5,7.4,7.1,7.4,7.3,7.3,6.9,7.2,7.5,7.5,7.5,7.8
Pad Man,8.0,"24,898","12,991","1,904",23,"5,005","6,750",847,19,"4,345","5,768",672,2,529,879,161,tt7218518,7.9,8.1,7.7,7.5,7.6,8.1,7.7,7.5,8.5,8.0,7.9,7.7
Toilet: Ek Prem Katha,7.3,"20,429","11,395","1,168",17,"4,355","5,632",532,15,"3,953","5,050",430,1,310,522,91,tt5785170,7.5,7.4,7.0,6.8,7.3,7.4,7.0,6.7,9.0,7.3,7.0,7.4
Party Monster: Scratching the Surface,7.0,"1,167",624,216,1,166,453,168,1,115,336,127,0,47,107,38,tt8008382,1.0,7.5,7.2,6.4,1.0,7.6,7.2,6.3,-,7.3,7.2,6.7
Stay Here,7.5,"1,083",343,400,0,143,417,121,0,47,193,63,0,90,209,56,tt8773338,-,7.4,7.4,7.3,-,7.5,7.2,6.8,-,7.3,7.6,8.0
The Motive,5.3,"1,278",520,334,0,85,459,250,0,39,286,154,0,38,162,91,tt15529566,-,5.5,5.3,5.3,-,5.7,5.2,5.4,-,5.3,5.3,5.2
To All the Boys I’ve Loved Before,7.1,"101,598","23,147","35,371",191,"25,178","25,201","4,067",48,"7,760","10,663","2,265",104,"15,333","13,741","1,663",tt3846674,6.3,7.2,7.0,6.9,6.5,6.8,6.6,6.6,6.0,7.5,7.4,7.4
Yoo Byung Jae: Discomfort Zone,4.8,29,17,6,0,3,14,2,0,2,11,2,0,1,3,0,tt8948740,-,5.7,4.9,4.0,-,4.5,4.5,4.0,-,8.0,6.3,-
Bhavesh Joshi Superhero,7.7,"8,539","4,893",202,6,"1,726","2,397",164,6,"1,654","2,276",147,0,44,104,14,tt6129302,9.2,7.8,7.4,6.5,9.2,7.8,7.4,6.6,-,7.9,7.3,5.2
For Here or to Go?,6.8,603,383,57,0,80,267,47,0,74,230,35,0,4,33,9,tt4157510,-,6.9,6.7,5.8,-,7.0,6.7,5.6,-,7.0,7.5,6.8
72 Dangerous Animals: Asia,6.5,519,284,70,1,87,189,52,1,61,150,43,0,23,37,7,tt8728268,9.0,6.4,6.7,6.0,9.0,6.1,6.6,6.2,-,7.0,7.1,7.0
Afflicted,6.2,"23,323","15,565","3,504",0,"2,353","11,777","4,217",0,"1,786","9,575","3,441",0,517,"2,047",693,tt2309961,-,6.4,6.2,6.1,-,6.5,6.2,6.1,-,6.1,6.2,6.2
All About the Washingtons,4.8,708,243,172,2,78,191,85,0,38,121,53,2,37,67,30,tt7661368,8.0,5.3,4.3,4.7,-,4.7,3.7,4.2,8.0,5.8,6.1,5.4
The Guernsey Literary and Potato Peel Pie Society,7.3,"44,151","14,708","14,739",18,"5,294","13,549","8,590",7,"1,814","6,307","5,362",9,"3,221","6,918","3,023",tt1289403,6.4,7.3,7.2,7.4,7.0,7.0,6.9,7.3,6.7,7.6,7.5,7.9
The Package,5.6,"16,862","9,474","1,895",25,"3,225","5,727","1,464",19,"2,394","4,821","1,268",5,700,807,164,tt7525778,4.1,5.5,5.5,5.5,4.1,5.6,5.6,5.5,4.0,5.4,5.3,5.8
Zion,7.1,"1,198",708,134,1,185,460,136,1,149,395,100,0,32,57,32,tt7820962,7.0,7.2,7.1,7.1,7.0,7.2,7.1,7.0,-,7.0,7.2,7.6
Perdida,8.1,"940,397","508,928","147,616",371,"178,718","352,548","75,492",256,"127,648","273,834","59,890",82,"45,970","72,757","14,041",tt2267998,8.4,8.4,8.1,7.7,8.5,8.4,8.1,7.7,8.0,8.3,8.0,7.7
The Originals,8.4,"130,080","38,773","44,116",81,"29,019","36,187","8,635",25,"12,987","16,528","4,062",37,"15,088","18,997","4,410",tt2632424,8.5,8.7,8.2,7.7,8.8,8.7,7.9,7.1,7.9,8.6,8.4,8.4
Pretty Man,6.4,509,69,248,1,102,143,41,1,21,30,9,0,77,109,32,tt3350766,3.0,6.5,6.1,8.0,3.0,6.8,6.5,7.1,-,6.3,6.0,8.3
On Children,7.3,372,145,97,0,64,119,41,0,36,76,22,0,25,40,18,tt8507402,-,7.7,7.3,6.6,-,7.6,7.0,6.5,-,7.9,7.8,6.8
2 States,6.9,"25,272","14,699","1,971",9,"6,300","8,396",582,8,"5,556","7,397",453,1,675,951,121,tt2372678,6.2,7.1,6.9,6.6,6.0,7.1,6.9,6.6,8.0,7.1,6.8,6.9
Baaghi,5.3,"8,637","4,429",451,12,"1,801","2,236",233,11,"1,621","2,022",197,1,146,193,31,tt4864932,6.6,5.3,5.0,5.6,6.6,5.2,5.0,5.5,6.0,5.7,5.4,6.4
Brij Mohan Amar Rahe,7.0,"3,750","1,038",57,0,242,624,106,0,229,590,97,0,10,30,8,tt6514010,-,6.4,6.3,5.9,-,6.4,6.4,5.9,-,6.4,5.1,4.9
Flavors of Youth: International Version,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT FOUND,0,0,0,0,0,0,0,0,0,0,0,0
Cocaine Coast,7.9,"3,714","2,128",312,0,245,"1,237",740,0,189,"1,044",626,0,33,147,88,tt6970710,-,8.1,7.9,7.8,-,8.1,7.8,7.8,-,8.1,7.9,7.8
Dinotrux Supercharged,7.5,93,41,12,0,10,25,13,0,7,18,11,0,3,7,2,tt7620702,-,5.7,7.5,2.2,-,5.9,7.1,2.1,-,8.0,8.3,6.0
Like Father,6.1,"21,044","9,537","5,764",9,"2,490","8,403","3,364",7,"1,200","5,177","2,392",1,"1,198","3,068",913,tt7170950,5.2,6.2,6.0,6.1,5.1,6.1,5.9,6.1,1.0,6.4,6.2,6.4
7 Khoon Maaf,6.2,"5,909","4,091",701,0,886,"3,373",385,0,735,"2,928",282,0,138,420,98,tt1629376,-,6.3,6.3,5.9,-,6.2,6.3,5.8,-,6.7,6.6,6.1
Chillar Party,7.5,"7,665","5,095",428,5,"1,663","3,267",217,4,"1,534","3,011",175,1,107,237,38,tt1841542,6.7,7.5,7.5,6.7,6.5,7.5,7.5,6.7,6.0,7.6,7.6,6.8
Fashion,6.9,"12,405","8,097","1,619",0,"2,354","6,456",483,0,"1,905","5,465",355,0,431,951,118,tt0964516,-,7.1,6.9,6.6,-,7.0,6.9,6.4,-,7.3,6.9,7.2
Fitoor,5.4,"4,776","2,443",583,1,"1,062","1,482",156,1,859,"1,222",116,0,193,248,39,tt4399594,7.0,5.7,5.1,5.7,7.0,5.6,5.1,5.4,-,5.9,5.6,6.6
Fiza,6.1,"4,105","2,703",436,0,489,"2,278",241,0,429,"1,996",156,0,54,265,80,tt0248012,-,6.3,6.0,6.2,-,6.3,6.0,5.9,-,6.2,6.2,6.8
Guzaarish,7.5,"18,344","11,350","2,282",5,"3,680","8,315",792,3,"3,052","6,992",531,2,576,"1,248",249,tt1438298,5.5,7.8,7.3,7.1,5.0,7.8,7.2,6.9,6.0,7.9,7.6,7.8
Haider,8.2,"53,140","34,481","2,949",10,"14,282","18,502","1,281",8,"13,220","16,955","1,038",1,980,"1,442",227,tt3390572,8.0,8.6,7.9,6.8,8.0,8.6,7.9,6.8,8.0,8.5,7.9,7.0
Highway,6.8,"28,005","16,854","4,772",4,900,"12,713","7,644",2,570,"9,735","6,133",1,313,"2,856","1,409",tt0116361,7.8,6.8,6.7,6.9,7.0,6.7,6.7,6.8,10.0,6.9,7.1,7.2
I Hate Luv Storys,5.6,"7,952","5,185","1,142",1,"1,893","3,880",274,1,"1,527","3,238",189,0,352,625,82,tt1667838,1.0,6.0,5.4,5.4,1.0,6.0,5.3,5.4,-,6.4,6.1,5.6
Joker,8.4,"1,155,612","541,072","109,727","1,414","195,372","319,711","79,745",961,"145,019","258,741","65,121",227,"34,643","49,502","11,647",tt7286456,8.7,8.6,8.3,8.1,8.6,8.6,8.3,8.1,8.2,8.6,8.4,8.3
Main aurr Mrs. Khanna,3.5,"3,129","1,800",356,0,544,"1,347",136,0,446,"1,160",88,0,91,182,45,tt1174041,-,3.1,3.4,4.1,-,2.9,3.3,3.9,-,4.2,4.1,4.6
Mohenjo Daro,5.8,"11,493","6,013",632,8,"2,092","3,016",328,7,"1,917","2,730",244,0,150,265,79,tt3859980,6.4,6.0,5.2,5.8,6.4,6.0,5.3,5.6,-,6.3,5.3,6.7
Raajneeti,7.1,"17,435","12,205","1,014",3,"3,674","8,192",535,3,"3,427","7,530",437,0,216,612,93,tt1291465,8.3,7.4,7.0,6.4,8.3,7.4,7.0,6.3,-,7.0,7.1,7.1
Rang De Basanti,8.1,"117,737","76,204","7,995",40,"22,631","50,115","5,326",33,"20,664","45,325","4,201",5,"1,792","4,498","1,066",tt0405508,8.1,8.5,8.0,6.5,8.5,8.5,8.0,6.4,6.0,8.2,7.7,7.0
Rowdy Rathore,5.9,"22,190","12,720",821,15,"5,036","7,182",422,12,"4,732","6,740",350,2,266,405,69,tt2077833,6.6,6.0,5.6,5.6,6.7,6.0,5.6,5.5,6.5,6.1,5.9,6.4
Tamasha,7.4,"26,683","14,273","2,003",12,"6,378","7,535",497,9,"5,598","6,550",394,2,684,911,96,tt3148502,8.4,7.7,6.9,6.1,8.1,7.7,6.9,6.0,8.0,7.4,6.8,6.8
Tere Naal Love Ho Gaya,5.9,"4,324","2,986",414,0,"1,071","2,007",166,0,940,"1,780",119,0,120,217,44,tt2130242,-,6.1,5.6,6.0,-,6.1,5.5,5.7,-,6.4,6.0,7.0
Thank You,4.8,"5,719","3,626",350,3,"1,357","2,183",206,3,"1,250","1,989",156,0,93,183,46,tt1720254,4.0,5.0,4.4,4.6,4.0,5.0,4.4,4.6,-,5.2,4.1,5.0
The Blue Umbrella,7.3,"2,062","1,468",187,0,186,"1,198",207,0,161,"1,083",158,0,23,107,45,tt0457802,-,7.3,7.5,6.7,-,7.3,7.5,6.7,-,6.7,7.0,6.8
Becoming Champions,6.7,386,275,10,0,63,160,41,0,58,152,40,0,2,7,0,tt8796068,-,6.3,6.7,6.8,-,6.3,6.8,6.8,-,1.0,6.1,-
Being Napoleon,5.5,122,83,6,0,19,34,33,0,16,33,31,0,3,0,2,tt8841814,-,4.5,5.5,5.9,-,4.8,5.5,5.9,-,4.0,-,4.5
Invisible,7.5,"1,385",348,236,1,96,234,192,0,50,131,127,1,39,97,59,tt14691616,10.0,7.6,7.1,7.1,-,7.6,6.6,6.9,10.0,7.7,7.9,7.3
Switched,7.9,"24,718","4,153","13,978",4,"5,116","9,611","2,271",0,790,"2,235",866,3,"4,241","7,240","1,362",tt1758772,9.0,8.0,7.8,7.7,-,7.6,7.2,7.3,8.7,8.1,8.0,8.1
The Could’ve-Gone-All-the-Way Committee,6.7,96,49,16,0,19,26,10,0,13,18,9,0,6,7,1,tt8499662,-,7.5,6.7,6.5,-,7.7,6.5,6.8,-,6.0,6.5,4.0
A Very Secret Service,7.7,"3,436","1,915",430,0,419,"1,057",709,0,307,839,587,0,93,197,108,tt4367560,-,8.1,7.7,7.4,-,8.1,7.7,7.5,-,8.2,7.8,7.0
SWORDGAI The Animation,5.8,900,487,93,2,157,292,64,1,127,248,51,1,26,40,11,tt7415066,5.5,5.8,5.7,6.1,2.0,5.9,5.7,5.9,9.0,5.6,6.3,7.9
Da Kath & Kim Code,7.4,894,424,228,0,95,376,163,0,55,234,114,0,31,137,44,tt0484275,-,7.6,7.4,7.3,-,7.7,7.4,7.1,-,7.5,7.4,8.1
Kath & Kimderella,5.3,"1,315",697,337,0,190,488,297,0,111,322,213,0,72,158,78,tt1859607,-,5.5,5.0,5.4,-,5.4,4.8,5.3,-,5.8,5.5,5.9
Kath and Kim,8.4,"4,067","1,721","1,231",6,492,"1,541",761,3,262,861,469,3,205,661,272,tt0272397,8.4,8.6,8.2,8.3,8.3,8.4,8.1,8.1,8.0,8.8,8.5,8.6
The Mansion,4.6,"2,582","1,462",331,4,347,931,429,3,234,737,366,1,89,179,49,tt7029854,4.0,4.7,4.5,4.8,4.0,4.8,4.5,4.8,4.0,4.6,4.6,5.1
Coco y Raulito: Carrusel de ternura,6.6,39,21,4,0,6,15,0,0,6,13,0,0,0,2,0,tt7607498,-,6.5,5.7,-,-,6.5,5.7,-,-,-,6.0,-
El Chapo,7.8,"17,780","10,788",876,10,"1,872","6,262","2,466",6,"1,615","5,625","2,206",2,127,434,204,tt6692188,6.8,8.0,7.8,7.7,8.1,8.0,7.8,7.7,6.5,8.1,7.7,7.5
Extinction,5.8,"51,665","33,008","5,390",19,"4,495","21,119","9,798",15,"3,515","17,957","8,465",3,834,"2,797","1,151",tt3201640,6.4,5.7,5.7,5.9,6.4,5.6,5.7,5.9,5.3,6.0,6.0,6.2
Smoking,5.4,"83,031","57,499","7,681",15,"12,223","41,273","9,508",13,"10,316","36,321","8,264",1,"1,707","4,515","1,100",tt0290095,6.0,5.7,5.2,5.3,5.9,5.7,5.2,5.3,10.0,5.9,5.2,5.6
The Bleeding Edge,7.6,"2,622","1,288",624,1,371,"1,049",396,0,213,715,274,1,144,307,107,tt8106576,8.0,7.6,7.5,7.8,-,7.5,7.4,7.5,8.0,7.9,7.9,8.4
Welcome to the Family,5.7,"1,074",520,367,0,124,516,211,0,60,293,132,0,61,217,73,tt2709648,-,6.5,5.6,5.5,-,6.0,5.4,5.3,-,7.1,6.1,6.1
Parmanu: The Story of Pokhran,7.7,"23,163","13,234",838,13,"4,838","6,027",476,10,"4,536","5,606",425,1,197,347,46,tt6826438,8.9,7.9,7.4,6.8,8.9,7.9,7.3,6.8,8.0,7.8,7.6,7.1
Iliza Shlesinger: Elder Millennial,7.2,"3,931","1,725","1,163",5,564,"1,670",479,2,272,994,346,2,277,638,121,tt8697266,2.4,7.1,7.1,7.2,4.0,6.7,6.9,7.0,5.5,7.6,7.7,8.0
The Warning,5.1,"3,831","2,835",245,0,151,"1,453","1,407",0,116,"1,325","1,299",0,30,112,92,tt0081764,-,5.1,5.1,5.0,-,5.1,5.1,5.0,-,5.0,5.0,4.6
Amazing Interiors,6.6,793,302,253,0,138,284,80,0,60,164,45,0,72,114,34,tt8747342,-,6.7,6.4,6.9,-,6.7,6.4,6.5,-,6.7,6.4,7.6
Dark Tourist,7.5,"7,043","3,419","1,350",1,"1,405","2,483",480,0,888,"1,806",359,0,464,625,114,tt8725166,9.0,7.7,7.4,7.2,-,7.5,7.4,7.1,-,7.9,7.7,7.5
Duck Duck Goose,5.7,"3,633","1,938",674,54,470,"1,395",505,50,287,"1,051",391,4,168,327,105,tt4940416,5.0,5.7,5.7,5.8,4.3,5.3,5.6,5.7,8.0,6.5,6.0,6.3
Father of the Year,5.2,"11,257","6,649","1,326",12,"1,588","4,372","1,442",10,"1,186","3,653","1,210",1,326,652,211,tt7256866,5.5,5.2,5.1,5.1,5.5,5.2,5.1,5.1,4.0,5.4,5.1,5.2
Home: Adventures with Tip & Oh,6.2,600,183,154,2,73,167,50,2,48,76,29,0,20,89,19,tt5759196,3.0,5.5,6.5,5.6,3.0,5.7,6.1,5.0,-,5.7,6.8,7.0
Jimmy: The True Story of a True Idiot,6.8,75,43,10,0,12,30,10,0,9,23,8,0,3,5,2,tt6866914,-,7.1,5.9,6.4,-,6.8,5.8,6.9,-,6.7,7.0,5.0
Luna Petunia: Return to Amazia,4.8,48,25,11,0,8,14,10,0,6,10,7,0,2,4,3,tt7924854,-,4.4,2.3,5.4,-,3.2,1.9,5.5,-,8.0,7.0,7.0
Nothing to Lose,6.7,"46,054","32,113","3,838",0,"2,692","25,148","7,179",0,"2,315","22,508","6,169",0,335,"2,423",924,tt0119807,-,6.8,6.8,6.4,-,6.8,6.7,6.4,-,7.0,6.9,7.0
El club de los buenos infieles,5.5,639,351,106,0,42,245,143,0,26,178,115,0,15,54,25,tt3398808,-,5.8,5.5,5.4,-,5.8,5.5,5.3,-,6.2,5.3,5.2
Camarón Revolution,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt4254750,0,0,0,0,0,0,0,0,0,0,0,0
Camarón: The Film,7.5,297,189,38,0,24,117,74,0,16,90,67,0,7,23,6,tt8067306,-,7.6,7.3,7.7,-,7.8,7.3,7.6,-,5.5,7.5,8.2
GODZILLA City on the Edge of Battle,5.8,"4,811","3,294",167,3,633,"2,005",526,1,583,"1,903",493,2,31,79,25,tt8015080,7.7,5.8,5.9,5.6,6.0,5.8,5.9,5.6,8.5,6.2,5.7,5.6
Going for Gold,4.8,536,165,177,2,76,152,85,0,11,79,60,2,63,73,22,tt7104578,6.0,4.8,4.6,4.4,-,5.1,4.7,4.5,6.0,4.7,4.6,4.0
The Joel McHale Show with Joel McHale,7.2,"2,367","1,318",365,0,327,934,290,0,264,719,212,0,55,201,71,tt7895706,-,7.2,7.1,7.1,-,7.2,7.1,7.0,-,7.0,7.3,7.4
Meteor Garden,8.2,"3,787",326,"1,609",9,626,777,246,0,94,119,58,8,493,633,175,tt8690890,7.9,8.0,7.9,8.4,-,7.3,6.4,7.8,7.9,8.1,8.2,8.6
How It Ends,5.0,"2,058","1,207",247,1,145,788,460,0,111,637,380,1,30,126,65,tt13648228,10.0,4.9,5.1,4.8,-,4.7,5.0,4.7,10.0,5.9,5.8,5.5
Jim Jefferies: This Is Me Now,7.3,"3,954","2,667",352,0,577,"1,755",520,0,500,"1,532",445,0,68,200,58,tt8617844,-,7.5,7.3,7.3,-,7.4,7.3,7.3,-,7.5,7.2,7.4
Romina,2.3,"2,271","1,257",324,4,274,776,397,3,184,603,336,0,74,155,52,tt6090044,3.0,2.0,2.3,2.5,3.3,2.0,2.3,2.5,-,2.0,2.2,2.9
Mossad 101,6.8,631,308,115,1,51,146,182,1,32,112,126,0,18,32,50,tt4354042,9.0,7.6,6.7,6.8,9.0,7.2,6.8,6.8,-,8.0,6.0,6.5
Baby Ballroom,7.8,197,40,87,0,16,68,36,0,3,23,12,0,13,43,24,tt8159960,-,7.7,7.8,8.0,-,7.0,7.5,7.7,-,7.8,8.0,8.2
Drug Lords,6.8,"1,289",801,94,1,165,518,153,1,130,460,137,0,26,46,13,tt7935522,7.0,6.9,6.8,6.7,7.0,6.9,6.8,6.8,-,7.2,6.8,5.9
Mr. Sunshine,8.8,"6,530","1,831","1,727",4,749,"1,388",970,2,343,703,512,2,358,647,426,tt7094780,10.0,8.8,8.6,8.8,10.0,8.7,8.4,8.6,10.0,8.7,8.8,9.0
First Team: Juventus,7.3,"2,058","1,375",48,0,431,757,109,0,401,723,102,0,19,18,4,tt7924812,-,7.3,7.2,7.3,-,7.3,7.2,7.3,-,8.3,7.3,8.5
Luciano Mellera: Infantiloide,8.3,"1,514",504,801,1,628,386,45,1,213,146,21,0,413,236,23,tt7607400,8.0,8.9,8.2,7.3,8.0,8.3,7.6,7.0,-,9.8,9.3,8.0
The Legacy of a Whitetail Deer Hunter,5.5,"3,868","2,685",239,1,357,"1,764",647,1,329,"1,611",573,0,18,134,63,tt4762824,1.0,5.6,5.5,5.4,1.0,5.6,5.5,5.4,-,5.6,5.3,5.8
The Skin of the Wolf,5.8,"3,004","1,545",604,0,206,"1,042",741,0,112,712,573,0,89,298,147,tt6347150,-,5.9,5.8,5.9,-,6.1,5.7,5.9,-,5.6,6.0,6.0
