Title,Avg,Total,Total_males,Total_Females,All_below_18,All_18_29,All_30_44,All_over_45,Males_below_18,Males_18_29,Males_30_44,Males_over_45,Females_below_18,Females_18_29,Females_30_44,Females_over_45,Title_ID,All_rank_below_18,All_rank_18_29,All_rank_30_44,All_rank_over_45,Males_rank_below_18,Males_rank_18_29,Males_rank_30_44,Males_rank_over_45,Females_rank_below_18,Females_rank_18_29,Females_rank_30_44,Females_rank_over_45
I AM A KILLER: RELEASED,5.2,831,394,184,1,74,317,156,1,38,215,109,0,32,98,41,tt12662374,8.0,5.0,5.4,4.9,8.0,5.3,5.4,4.8,-,4.7,5.2,5.1
Masaba Masaba,6.8,"1,720",552,291,2,203,464,54,1,140,307,39,0,53,148,15,tt10655506,8.0,6.6,6.5,6.1,8.0,6.4,6.4,5.7,-,7.6,6.9,6.6
Santana,3.8,974,459,38,1,52,240,176,0,41,218,157,0,8,15,12,tt11769162,1.0,3.8,3.6,3.9,-,4.0,3.6,3.8,-,3.3,3.3,5.7
Unknown Origins,6.1,"6,593","3,712",593,4,418,"2,277","1,339",3,314,"1,896","1,160",1,85,303,137,tt5827790,6.2,6.2,6.1,6.1,5.0,6.1,6.1,6.0,10.0,6.4,6.3,6.5
Aggretsuko,8.0,"5,970","2,401","1,176",15,"1,169","1,817",249,8,720,"1,183",190,5,390,596,53,tt8019444,7.8,8.0,7.9,7.9,7.5,7.9,7.8,7.7,8.4,8.3,8.4,8.4
Edge of Seventeen,6.8,"6,407","3,797","1,042",2,532,"2,435","1,790",0,290,"1,789","1,591",2,222,617,171,tt0138414,8.5,6.9,6.6,7.0,-,7.1,6.6,7.1,8.5,6.5,6.4,5.6
The Bridge Curse,5.2,"1,426",698,255,1,170,538,178,0,110,380,144,1,51,146,32,tt11242242,7.0,5.3,5.3,5.1,-,5.3,5.1,5.0,7.0,5.3,5.6,5.5
The Young Messiah,5.7,"3,490","2,001",533,0,270,"1,098","1,001",0,201,862,797,0,64,218,194,tt1002563,-,5.7,5.4,5.9,-,5.6,5.2,5.8,-,6.1,6.1,6.5
Her Mother's Killer,7.9,262,76,64,0,17,51,58,0,7,27,33,0,9,22,23,tt10348078,-,8.3,7.7,7.7,-,7.9,7.5,7.8,-,8.7,7.8,7.1
Lingua Franca,6.5,667,382,95,0,84,233,140,0,61,180,119,0,19,45,19,tt8943224,-,7.0,6.4,6.2,-,7.0,6.4,6.3,-,6.5,6.4,5.7
Making The Witcher,6.8,431,245,54,3,98,139,42,3,77,110,35,0,19,26,6,tt12987838,6.3,7.0,6.8,6.9,6.3,6.9,6.8,6.7,-,7.4,7.3,8.3
Million Dollar Beach House,4.1,788,255,217,2,101,255,89,0,48,136,55,2,46,112,32,tt12882136,4.0,4.5,4.1,3.9,-,4.8,3.9,4.1,4.0,4.1,4.3,3.5
Rising Phoenix,8.1,"1,641",860,276,1,215,622,218,1,140,470,168,0,66,135,46,tt10851618,9.0,8.0,8.1,7.9,9.0,7.9,8.0,7.8,-,8.3,8.2,8.8
Emily's Wonder Lab,8.8,178,61,40,4,9,58,24,2,3,34,17,2,5,24,5,tt10687464,10.0,9.5,8.7,8.0,10.0,9.7,8.5,7.7,10.0,9.8,9.3,9.3
Trinkets,7.1,"9,962","1,838","2,904",37,"1,945","1,957",504,14,582,717,278,17,"1,148","1,156",210,tt9134194,6.3,7.2,6.9,6.8,7.6,6.9,6.5,6.5,5.0,7.3,7.1,7.4
Septembers of Shiraz,6.2,"4,965","2,882",812,0,364,"1,916","1,163",0,244,"1,476",927,0,109,410,215,tt3661298,-,6.1,6.0,6.3,-,6.1,5.9,6.3,-,6.5,6.4,6.4
Baewatch: Parental Guidance,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt5710706,0,0,0,0,0,0,0,0,0,0,0,0
Ojos in d' House,6.1,11,3,2,0,0,3,1,0,0,2,0,0,0,0,1,tt12960266,-,-,7.0,6.0,-,-,5.5,-,-,-,-,6.0
Class of '83,5.8,"5,523","2,825",157,8,845,"1,576",188,6,773,"1,460",171,2,34,77,14,tt10230422,6.7,6.0,5.7,5.1,6.7,6.0,5.7,5.2,9.0,5.8,6.2,3.7
Dark Forces,6.1,"1,415","1,006",111,0,28,429,654,0,17,376,584,0,8,44,54,tt0080842,-,6.5,6.1,6.1,-,6.7,6.1,6.1,-,6.7,6.4,6.8
Hoops,6.0,"5,870","2,852",405,11,904,"1,692",343,10,721,"1,455",300,0,135,192,35,tt9077562,4.8,6.2,6.0,5.7,4.7,6.2,6.0,5.8,-,6.1,6.2,5.4
Rust Valley Restorers,7.8,"2,711","1,548",172,1,281,895,399,1,233,790,343,0,32,70,46,tt9498102,8.0,8.0,7.7,7.7,8.0,8.0,7.7,7.6,-,7.7,7.8,7.9
The Sleepover,5.6,"10,041","5,032","1,536",14,"1,163","3,434","1,538",6,716,"2,634","1,243",5,377,711,263,tt10888708,5.7,5.5,5.5,5.8,4.7,5.4,5.4,5.7,8.2,5.8,5.9,6.4
Goedam,5.7,867,365,168,1,155,258,86,1,95,173,66,0,53,77,18,tt12929796,5.0,5.6,5.7,5.9,5.0,5.4,5.8,6.0,-,6.1,5.5,5.5
John Was Trying to Contact Aliens,6.4,"1,481",938,156,1,155,607,281,1,117,516,242,0,31,83,33,tt11733790,6.0,6.6,6.2,6.5,6.0,6.5,6.2,6.4,-,7.2,6.8,6.8
Scarecrow,7.2,"16,998","12,129","1,405",2,"1,261","7,676","4,290",1,"1,062","6,890","3,784",0,183,717,451,tt0070643,7.5,7.5,7.3,7.1,8.0,7.5,7.3,7.1,-,7.8,7.4,7.3
The Crimes That Bind,6.7,"3,875","2,075",687,4,346,"1,385",870,3,216,"1,015",681,0,114,329,169,tt10915060,3.8,6.4,6.7,6.7,3.3,6.5,6.6,6.6,-,6.1,6.8,7.0
DeMarcus Family Rules,6.3,108,26,32,0,2,27,20,0,0,14,11,0,2,13,9,tt12759420,-,7.0,4.7,5.4,-,-,3.9,5.0,-,7.0,5.8,5.8
High Score,7.4,"7,622","5,138",419,4,765,"3,678",786,4,638,"3,357",732,0,99,244,38,tt12759400,7.2,7.4,7.4,7.2,7.2,7.4,7.4,7.2,-,7.7,7.5,6.8
Little Singham: Kaal Ka Badla,5.9,22,2,0,0,0,1,0,0,0,1,0,0,0,0,0,tt12934616,-,-,10.0,-,-,-,10.0,-,-,-,-,-
Drunk Parents,3.9,"7,137","3,860","1,256",2,573,"2,552","1,655",0,362,"1,864","1,306",0,181,631,316,tt5037840,6.0,4.0,3.9,3.9,-,3.8,3.9,3.9,-,4.3,4.2,4.2
